name,prompt,negative_prompt
TT1,"(masterpiece), best quality, expressive eyes, perfect face, (((1 woman))), (czech woman),attractive, detailed face, ((aroused)), portrait,closeup,thick thighs, toned abs, athletic figure, small waist, big eyes,black hair in an elegant braid, ((light gray eyes)),(legs spread open), (((sex))), (((cowgirl sex))), , (((long black ballgown and choker))),((black fishnets)), gala background, ((male holding woman's hip)), ((male aristocrat having sex with woman)), ((fucking)), ((cleavage)), <lora:povSquattingCowgirlLora_pscowgirl:0.7>","(worst quality:1.4), (low quality:1.4), (monochrome:1.1), bad_prompt_version2, bad_artist_anime, (loli: 1.5), (shota:1.5), (child:1.4), ((disfigured)), ((bad art)), fit body, sport body, (open belly:1.2)"
TT2,"(masterpiece), best quality, expressive eyes, perfect face, (((1 woman))), (czech woman),attractive, detailed face, ((aroused)), portrait,closeup,thick thighs, toned abs, athletic figure, small waist, big eyes,black hair in an elegant braid, ((light gray eyes)),(legs spread open), (((sex))), (((cowgirl sex))), , (((long black ballgown and choker))),((black fishnets)), gala background, ((male holding woman's hip)), ((male aristocrat having sex with woman)), ((fucking)), ((cleavage)), <lora:povSquattingCowgirlLora_pscowgirl:0.7>","(worst quality:1.4), (low quality:1.4), (monochrome:1.1), bad_prompt_version2, bad_artist_anime, (loli: 1.5), (shota:1.5), (child:1.4), ((disfigured)), ((bad art)), fit body, sport body, (open belly:1.2)"
